annee,mois,compagnie,redevances
2023,2,SKY SERVICES,61003.68
2023,2,TOA,771021.09
2023,2,AIR LINK,1209527.37
2023,2,ANKAO,30401.52
2023,2,SKY LOG,1600.08
2023,2,AÉROMARINE,486413.11
2023,2,AIR MADAGASCAR,50174391.944412
2023,2,TSARADIA,26932546.56
2023,2,KENYA AIRWAYS,126410360.37
2023,2,TURKISH AIRLINES,4708088.01
2023,2,ETHOPIAN AIRLINES,175233965.14
2023,2,AIR MAURITIUS,159097100.0
2023,2,SOCOTA,0.0
2023,2,GS AVIATION,287207.9
2023,2,MAF,188516.88
2023,2,HELIMISSION,35201.76
2023,2,STA,65803.44
2023,2,GK AIRCRAFT,29601.6
2023,3,AIR FRANCE,212457168.08
2023,3,AUSTRALAIR GSA,354599621.82
2023,3,MTA,1987734.86
2023,3,SIFOR,0.0
2023,3,GRAPH'AIR,0.0
2023,3,HFFTA,553430.16
2023,3,ASSIST,0.0
2023,3,DMSA,1487100.24
2023,3,NEOS,21792146.76
2023,3,LOT,0.0
2023,3,SKY SERVICES,147009.12
2023,3,TOA,423443.18
2023,3,AIR LINK,33404953.15
2023,3,ANKAO,30401.52
2023,3,SKY LOG,10600.56
2023,3,AÉROMARINE,0.0
2023,3,AIR MADAGASCAR,52756978.5
2023,3,TSARADIA,33043252.08
2023,3,KENYA AIRWAYS,129580555.24
2023,3,TURKISH AIRLINES,8196449.23
2023,3,ETHOPIAN AIRLINES,236517682.39
2023,3,AIR MAURITIUS,190021997.39
2023,3,SOCOTA,0.0
2023,3,GS AVIATION,443172.34
2023,3,MAF,179810.64
2023,3,HELIMISSION,10600.56
2023,3,STA,70404.0
2023,3,GK AIRCRAFT,8000.4
2023,4,AIR FRANCE,239186976.72
2023,4,AUSTRALAIR GSA,375366896.38
2023,4,MTA,1844709.36
2023,4,SIFOR,0.0
2023,4,GRAPH'AIR,44802.24
2023,4,HFFTA,521027.76
2023,4,ASSIST,0.0
2023,4,DMSA,1359490.56
2023,4,NEOS,94210380.63
2023,4,LOT,0.0
2023,4,SKY SERVICES,872851.68
2023,4,TOA,173208.96
2023,4,AIR LINK,38797767.94
2023,4,ANKAO,76803.84
2023,4,SKY LOG,80204.16
2023,4,AÉROMARINE,0.0
2023,4,AIR MADAGASCAR,55205737.23
2023,4,TSARADIA,37054652.64
2023,4,KENYA AIRWAYS,121190228.48
2023,4,TURKISH AIRLINES,8298323.68
2023,4,ETHOPIAN AIRLINES,332616945.23
2023,4,AIR MAURITIUS,202768116.91
2023,4,SOCOTA,0.0
2023,4,GS AVIATION,493238.61
2023,4,MAF,191811.84
2023,4,HELIMISSION,66403.44
2023,4,STA,0.0
2023,4,GK AIRCRAFT,32801.76
2023,5,AIR FRANCE,231100041.87
2023,5,AUSTRALAIR GSA,461625734.4
2023,5,MTA,2914784.44
2023,5,SIFOR,0.0
2023,5,GRAPH'AIR,110405.52
2023,5,HFFTA,1294614.99
2023,5,ASSIST,0.0
2023,5,DMSA,849456.24
2023,5,NEOS,124120397.67
2023,5,LOT,0.0
2023,5,SKY SERVICES,284416.32
2023,5,TOA,176809.44
2023,5,AIR LINK,49696351.16
2023,5,ANKAO,65603.28
2023,5,SKY LOG,120006.24
2023,5,AÉROMARINE,0.0
2023,5,AIR MADAGASCAR,53385220.47
2023,5,TSARADIA,37998699.84
2023,5,KENYA AIRWAYS,154258144.37
2023,5,TURKISH AIRLINES,10071026.36
2023,5,ETHOPIAN AIRLINES,379796066.2
2023,5,AIR MAURITIUS,234122933.2
2023,5,SOCOTA,0.0
2023,5,GS AVIATION,747538.23
2023,5,MAF,367021.68
2023,5,HELIMISSION,12800.64
2023,5,STA,0.0
2023,5,GK AIRCRAFT,17201.04
2023,6,AIR FRANCE,267977355.62
2023,6,AUSTRALAIR GSA,384927998.33
2023,6,MTA,2773348.86
2023,6,SIFOR,0.0
2023,6,GRAPH'AIR,105605.28
2023,6,HFFTA,352218.48
2023,6,ASSIST,0.0
2023,6,DMSA,1413895.2
2023,6,NEOS,110811027.17
2023,6,LOT,0.0
2023,6,SKY SERVICES,315218.88
2023,6,TOA,32001.6
2023,6,AIR LINK,54857038.21
2023,6,ANKAO,48002.4
2023,6,SKY LOG,80604.48
2023,6,AÉROMARINE,0.0
2023,6,AIR MADAGASCAR,71604169.23
2023,6,TSARADIA,35284964.16
2023,6,KENYA AIRWAYS,164323453.04
2023,6,TURKISH AIRLINES,18578549.04
2023,6,ETHOPIAN AIRLINES,375207281.63
2023,6,AIR MAURITIUS,211472024.82
2023,6,SOCOTA,36158.02
2023,6,GS AVIATION,48002.4
2023,6,MAF,403825.68
2023,6,HELIMISSION,51202.56
2023,6,STA,0.0
2023,6,GK AIRCRAFT,0.0
2023,7,AIR FRANCE,322342401.95
2023,7,AUSTRALAIR GSA,539619015.31
2023,7,MTA,2533402.23
2023,7,WASSMAN,8400.48
2023,7,GRAPH'AIR,19200.96
2023,7,HFFTA,1128573.19
2023,7,HITA,32001.6
2023,7,DMSA,1227880.8
2023,7,NEOS,118758913.76
2023,7,LOT,56842836.83
2023,7,SKY SERVICES,180666.11
2023,7,TOA,0.0
2023,7,AIR LINK,55246489.72
2023,7,ANKAO,65603.28
2023,7,SKY LOG,62003.28
2023,7,AIR MADAGASCAR,82635497.69
2023,7,TSARADIA,43011750.48
2023,7,KENYA AIRWAYS,196275264.81
2023,7,TURKISH AIRLINES,30755108.86
2023,7,ETHOPIAN AIRLINES,481459974.8
2023,7,AIR MAURITIUS,289292939.52
2023,7,SOCOTA,19001.04
2023,7,GS AVIATION,440220.29
2023,7,MAF,206612.64
2023,7,HELIMISSION,28801.68
2023,7,GK AIRCRAFT,0.0
2023,8,AIR FRANCE,316779778.12
2023,8,AUSTRALAIR GSA,585527993.59
2023,8,CORSAIR,112062716.92
2023,8,WASSMAN,9600.48
2023,8,GRAPH'AIR,174408.72
2023,8,HFFTA,464425.2
2023,8,HITA,73403.76
2023,8,DMSA,1526900.88
2023,8,NEOS,152800724.7
2023,8,LOT,51787632.47
2023,8,SKY SERVICES,471424.32
2023,8,TOA,505969.73
2023,8,AIR LINK TNR,79326217.75
2023,8,AIR LINK NOS,9310733.68
2023,8,ANKAO,112005.6
2023,8,SKY LOG,95604.96
2023,8,M AIRLINES,163591668.13
